graph,nodes,max_degree,steps,perturbation,eta,delta,beta,beta_multiplier,certified,max_state_error,max_ic_error,ic_bound,max_local_state_jacobian_norm,conditional_jacobian_bound
barbell16,32,16,64,adversarial,0.1,0.001,18.033302294121548,1.0,True,0.0009102202046305118,0.00033942534758857335,0.19839834668044434,0.2623893679770345,0.30625957286106625
barbell16,32,16,64,adversarial,0.1,0.001,27.04995344118232,1.5,True,2.0169328637899655e-05,1.0887117468882934e-05,0.19839834668044434,0.009194748806251863,0.4593893592915994
barbell16,32,16,64,equivariant_residual,0.1,0.001,9.016651147060774,0.5,False,0.051098953223087565,0.02482712388356756,0.19839834668044434,7.060730669230799,0.15448093160492016
barbell16,32,16,64,equivariant_residual,0.1,0.001,18.033302294121548,1.0,True,0.00012572254820632312,6.148652790849418e-05,0.19839834668044434,0.03752771596667594,0.3089618632098403
barbell16,32,16,64,equivariant_residual,0.1,0.001,27.04995344118232,1.5,True,1.3379206269534493e-06,6.935100123062199e-07,0.19839834668044434,0.0006203070645157084,0.46344279481476053
barbell16,32,16,64,adversarial,0.3,0.001,18.870914695761073,0.5,False,0.9526391349690355,0.46095244901171983,0.19839834668044434,13.62263055541842,0.3204847442781103
barbell16,32,16,64,adversarial,0.3,0.001,37.741829391522145,1.0,True,0.0007237705110250476,0.00022314928687161562,0.19839834668044434,0.4367464371869214,0.6409694885562206
barbell16,32,16,64,adversarial,0.3,0.001,56.61274408728322,1.5,True,1.223018326105951e-05,6.573966226275374e-06,0.19839834668044434,0.011642122045968295,0.961454232834331
barbell16,32,16,64,equivariant_residual,0.3,0.001,18.870914695761073,0.5,False,8.183905320533468e-05,4.033222699617589e-05,0.19839834668044434,0.026287662780098208,0.32896816397958967
barbell16,32,16,64,equivariant_residual,0.3,0.001,37.741829391522145,1.0,True,6.374815137715067e-09,3.2902143232149683e-09,0.19839834668044434,4.198404247777361e-06,0.6579363279591793
barbell16,32,16,64,equivariant_residual,0.3,0.001,56.61274408728322,1.5,True,5.089777750979774e-13,2.6401103525586223e-13,0.19839834668044434,5.028152675704134e-10,0.9869044919387691
random_0.1_0,32,8,64,adversarial,0.0,0.001,7.033355171739871,0.5,False,1.0,0.09330912475899744,0.21209610604805304,11.617422045188857,0.06323689634911317
random_0.1_0,32,8,64,adversarial,0.0,0.001,14.066710343479741,1.0,True,0.0009925600772709077,0.0013834789944722203,0.21209610604805304,0.12553377234279645,0.12647379269822634
random_0.1_0,32,8,64,adversarial,0.0,0.001,21.10006551521961,1.5,True,2.6322888423407883e-05,3.938121772817382e-05,0.21209610604805304,0.004998600451487949,0.1897106890473395
random_0.1_0,32,8,64,equivariant_residual,0.0,0.001,7.033355171739871,0.5,False,1.0,0.09330912475899744,0.21209610604805304,11.617422045188857,0.06323689634911317
random_0.1_0,32,8,64,equivariant_residual,0.0,0.001,14.066710343479741,1.0,True,0.0009925600772709077,0.0013834789944722203,0.21209610604805304,0.12553377234279645,0.12647379269822634
random_0.1_0,32,8,64,equivariant_residual,0.0,0.001,21.10006551521961,1.5,True,2.6322888423407883e-05,3.938121772817382e-05,0.21209610604805304,0.004998600451487949,0.1897106890473395
random_0.1_0,32,8,64,adversarial,0.1,0.001,8.83216723612347,0.5,False,1.0,0.2246154340510076,0.21209610604805304,13.561071068059771,0.07941001561998612
random_0.1_0,32,8,64,adversarial,0.1,0.001,17.66433447224694,1.0,True,0.0009882248881019583,0.0013529580899906968,0.21209610604805304,0.1569517575531481,0.15882003123997224
random_0.1_0,32,8,64,adversarial,0.1,0.001,26.49650170837041,1.5,True,2.5099651666781662e-05,3.752888708685731e-05,0.21209610604805304,0.005985326436035982,0.23823004685995836
random_0.1_0,32,8,64,equivariant_residual,0.1,0.001,8.83216723612347,0.5,False,1.0,0.23841513920096657,0.21209610604805304,17.866294722507888,0.08073351588031923
random_0.1_0,32,8,64,equivariant_residual,0.1,0.001,17.66433447224694,1.0,True,0.0001494705796827442,0.00022511337528019482,0.21209610604805304,0.02415511852726297,0.16146703176063845
random_0.1_0,32,8,64,equivariant_residual,0.1,0.001,26.49650170837041,1.5,True,1.7641792563612662e-06,2.7019240884662565e-06,0.21209610604805304,0.0004277121403601725,0.24220054764095766
random_0.1_0,32,8,64,adversarial,0.3,0.001,18.08050989175014,0.5,False,1.0,0.40974939742468175,0.21209610604805304,36.732042711606965,0.16256186443672552
random_0.1_0,32,8,64,adversarial,0.3,0.001,36.16101978350028,1.0,True,0.0009501156112618854,0.0011953760988605566,0.21209610604805304,0.30892055536291874,0.32512372887345103
random_0.1_0,32,8,64,adversarial,0.3,0.001,54.24152967525042,1.5,True,1.9623406159004106e-05,2.927757267734421e-05,0.21209610604805304,0.009579444122516318,0.4876855933101765
