family,size_parameter,offset,beta,mae,limit_mae
barbell,10000,3.8500000000000005,22.27068074395237,0.00018776709807679843,0.0
barbell,10000,3.9000000000000004,22.320680743952366,0.0001702284538089978,0.0
barbell,10000,3.95,22.370680743952366,0.000154579061058666,0.0
barbell,10000,4.0,22.420680743952367,0.00014059168622676364,0.0
barbell,100000000,-2.0,34.841361487904734,0.4999999925000001,0.5
barbell,100000000,-1.95,34.89136148790473,0.4999999925000001,0.5
barbell,100000000,-1.9,34.941361487904736,0.4999999925000001,0.5
barbell,100000000,-1.85,34.99136148790473,0.4999999925000001,0.5
barbell,100000000,-1.8,35.04136148790474,0.4999999925000001,0.5
barbell,100000000,-1.75,35.091361487904734,0.4999999925000001,0.5
barbell,100000000,-1.7,35.14136148790473,0.4999999925000001,0.5
barbell,100000000,-1.65,35.191361487904736,0.4999999925000001,0.5
barbell,100000000,-1.6,35.24136148790473,0.4999999925000001,0.5
barbell,100000000,-1.55,35.29136148790474,0.4999999925000001,0.5
barbell,100000000,-1.5,35.341361487904734,0.4999999925000001,0.5
barbell,100000000,-1.45,35.39136148790473,0.4999999925000001,0.5
barbell,100000000,-1.4,35.441361487904736,0.4999999925000001,0.5
barbell,100000000,-1.35,35.49136148790473,0.4999999925000001,0.5
barbell,100000000,-1.2999999999999998,35.54136148790474,0.4999999925000001,0.5
barbell,100000000,-1.25,35.591361487904734,0.4999999925000001,0.5
barbell,100000000,-1.2,35.64136148790473,0.4999999925000001,0.5
barbell,100000000,-1.15,35.691361487904736,0.4999999925000001,0.5
barbell,100000000,-1.1,35.74136148790473,0.4999999925000001,0.5
barbell,100000000,-1.0499999999999998,35.79136148790474,0.4999999925000001,0.5
barbell,100000000,-1.0,35.841361487904734,0.4999999925000001,0.5
barbell,100000000,-0.95,35.89136148790473,0.4999999925000001,0.5
barbell,100000000,-0.8999999999999999,35.941361487904736,0.4999999925000001,0.5
barbell,100000000,-0.8499999999999999,35.99136148790473,0.4999999925000001,0.5
barbell,100000000,-0.7999999999999998,36.04136148790474,0.4999999925000001,0.5
barbell,100000000,-0.75,36.091361487904734,0.4999999924999994,0.5
barbell,100000000,-0.7,36.14136148790473,0.49999999249999827,0.5
barbell,100000000,-0.6499999999999999,36.191361487904736,0.4999999924999934,0.5
barbell,100000000,-0.5999999999999999,36.24136148790473,0.4999999924999791,0.5
barbell,100000000,-0.5499999999999998,36.29136148790474,0.4999999924999323,0.5
barbell,100000000,-0.5,36.341361487904734,0.4999999924997886,0.5
barbell,100000000,-0.44999999999999996,36.39136148790473,0.4999999924993559,0.5
barbell,100000000,-0.3999999999999999,36.441361487904736,0.49999999249808647,0.5
barbell,100000000,-0.34999999999999987,36.49136148790473,0.49999999249445265,0.5
barbell,100000000,-0.2999999999999998,36.54136148790474,0.4999999924843017,0.5
barbell,100000000,-0.25,36.591361487904734,0.499999992456615,0.5
barbell,100000000,-0.19999999999999996,36.64136148790473,0.4999999923828346,0.5
barbell,100000000,-0.1499999999999999,36.691361487904736,0.4999999921906362,0.5
barbell,100000000,-0.09999999999999987,36.74136148790473,0.4999999917009499,0.5
barbell,100000000,-0.04999999999999982,36.79136148790474,0.4999999904800745,0.5
barbell,100000000,0.0,36.841361487904734,0.49999998749999836,0.5
barbell,100000000,0.050000000000000266,36.89136148790473,0.4999999803747607,0.5
barbell,100000000,0.10000000000000009,36.941361487904736,0.49999996367942245,0.5
barbell,100000000,0.1499999999999999,36.99136148790473,0.49999992532474846,0.5
barbell,100000000,0.20000000000000018,37.04136148790474,0.49999983889421373,0.5
barbell,100000000,0.25,37.091361487904734,0.4999996477610861,0.5
barbell,100000000,0.30000000000000027,37.14136148790473,0.49999923279359204,0.5
