family,size_parameter,represented_nodes,schedule,beta,mae,max_state_error_all_steps,max_state_error_final
barbell,1000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,2000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,coefficient_1.9,524.9894012026424,0.4999999999999998,1.0,0.0
barbell,1000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,2000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,coefficient_2.0,552.620422318571,0.4999999999999998,1.0,0.0
barbell,1000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,2000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,coefficient_2.1,580.2514434344995,4.440892098500626e-16,1.000580419821854e-126,0.0
barbell,1000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,2000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,coefficient_2.5,690.7755278982137,4.440892098500626e-16,1.0000000000000118e-150,0.0
barbell,1000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,2000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,coefficient_3.0,828.9306334778564,4.440892098500626e-16,1.0000000000000141e-180,0.0
path_copies,10,30,fixed_4,4.0,0.22119640266960303,0.3613372197192428,0.3613372197192428
path_copies,10,30,fixed_8,8.0,0.07687330838262112,0.027429300694919154,0.027429300694919154
path_copies,10,30,fixed_12,12.0,0.011894012365504247,0.0027021935296771067,0.0027021935296771067
path_copies,10,30,fixed_20,20.0,0.00021947861688823936,4.552168962189536e-05,4.552168962189536e-05
path_copies,10,30,fixed_100,100.0,0.0,1.9287498479639178e-22,1.9287498479639178e-22
path_copies,10,30,coefficient_1.5,5.101796072493233,0.16210186470303234,0.19103398033981603,0.19103398033981603
path_copies,10,30,coefficient_1.9,6.462275025158095,0.1290725664689459,0.07626352485411646,0.07626352485411646
path_copies,10,30,coefficient_2.0,6.802394763324311,0.11750668695661622,0.06048882283660079,0.06048882283660079
