family,n,m,gap,tau,normalized,prediction,absolute_error,represented_only,weight_scale,scale,schedule,distance_max,distance_mae,mean_max,mean_mae,closeness_mae,invalid_closeness_nodes
triangle_copies,30,,,0.0011111111111111111,False,,,True,1.0,fixed,n^-2,0.0007701635339554258,0.00025672117798514194,0.0003850817669777129,0.00025672117798514194,0.00011412760029871905,0
triangle_copies,30,,,0.0011111111111111111,True,,,True,1.0,fixed,n^-2,0.0007701635339554258,0.0005134423559702839,0.0007701635339554258,0.0005134423559702839,0.0003705926302471167,0
triangle_copies,30,,,3.7037037037037037e-05,False,,,True,1.0,fixed,n^-3,2.5672117798469785e-05,8.557372599489929e-06,1.2836058899345915e-05,8.557372599563942e-06,3.8033092573108718e-06,0
triangle_copies,30,,,3.7037037037037037e-05,True,,,True,1.0,fixed,n^-3,2.5672117798469785e-05,1.7114745198979858e-05,2.5672117798469785e-05,1.711474519905387e-05,1.2360397084335931e-05,0
triangle_copies,30,,,0.0011111111111111111,False,,,True,0.03333333333333333,shrinking,n^-2,0.0007701635339554952,0.0002567211779851651,0.00038508176697775454,0.0002567211779851697,0.10348547861328683,0
triangle_copies,30,,,0.0011111111111111111,True,,,True,0.03333333333333333,shrinking,n^-2,0.0007701635339554952,0.0005134423559703302,0.0007701635339554952,0.0005134423559703255,0.32773489683994345,0
triangle_copies,30,,,3.7037037037037037e-05,False,,,True,0.03333333333333333,shrinking,n^-3,2.5672117798511418e-05,8.557372599503807e-06,1.2836058899262648e-05,8.557372599508431e-06,0.0034238280089624595,0
triangle_copies,30,,,3.7037037037037037e-05,True,,,True,0.03333333333333333,shrinking,n^-3,2.5672117798518357e-05,1.7114745199012238e-05,2.5672117798518357e-05,1.7114745199009924e-05,0.011117778907415499,0
triangle_copies,90,,,0.0001234567901234568,False,,,True,1.0,fixed,n^-2,8.557372599504731e-05,2.852457533168244e-05,4.2786862997523656e-05,2.852457533168244e-05,1.2677950669504057e-05,0
triangle_copies,90,,,0.0001234567901234568,True,,,True,1.0,fixed,n^-2,8.557372599504731e-05,5.704915066336488e-05,8.557372599504731e-05,5.704915066336488e-05,4.119936201008034e-05,0
triangle_copies,90,,,1.3717421124828533e-06,False,,,True,1.0,fixed,n^-3,9.508191778362374e-07,3.169397259454125e-07,4.75409589029141e-07,3.169397260194273e-07,1.4086214513338766e-07,0
triangle_copies,90,,,1.3717421124828533e-06,True,,,True,1.0,fixed,n^-3,9.508191776141928e-07,6.3387945181681e-07,9.508191776141928e-07,6.338794515947654e-07,4.5780148016927313e-07,0
triangle_copies,90,,,0.0001234567901234568,False,,,True,0.011111111111111112,shrinking,n^-2,8.557372599505425e-05,2.852457533168475e-05,4.2786862997527125e-05,2.852457533168475e-05,0.10295277276507875,0
triangle_copies,90,,,0.0001234567901234568,True,,,True,0.011111111111111112,shrinking,n^-2,8.557372599505425e-05,5.70491506633695e-05,8.557372599505425e-05,5.70491506633695e-05,0.33170872774006455,0
